playerSum,dealerUpcard,usableAce,action,qValue,visitCount
20,11,0,1,-0.010079,1104
13,7,0,0,-0.342490,728
13,7,0,1,-0.449313,128
7,2,0,0,-0.056324,160
7,2,0,1,-0.131976,17
19,10,1,0,-0.046289,446
19,10,1,1,-0.160207,213
21,5,1,0,0.000000,0
21,5,1,1,1.331986,488
8,7,0,0,0.075429,197
8,7,0,1,-0.528968,19
21,3,0,0,0.000000,0
21,3,0,1,0.923625,216
9,10,0,0,-0.207518,1076
9,10,0,1,-0.509252,139
17,5,0,0,-0.494609,72
17,5,0,1,0.041168,691
11,9,0,0,0.275810,407
11,9,0,1,-0.147512,44
16,2,1,0,0.058103,92
16,2,1,1,-0.130460,24
14,2,1,0,0.148952,107
14,2,1,1,-0.052359,11
18,2,1,0,-0.068031,62
18,2,1,1,0.603360,73
5,4,0,0,-0.052808,84
5,4,0,1,-0.197095,18
15,3,1,0,0.161147,95
15,3,1,1,-0.041801,21
8,8,0,0,-0.107027,222
8,8,0,1,-0.563995,38
21,6,1,0,0.000000,0
21,6,1,1,1.412136,458
17,7,1,0,0.078324,104
17,7,1,1,-0.058124,17
16,6,0,0,-0.369345,63
16,6,0,1,-0.093700,584
16,6,1,0,0.144515,77
16,6,1,1,-0.106894,36
19,6,1,0,0.154689,13
19,6,1,1,0.310142,148
6,8,0,0,-0.160549,120
6,8,0,1,-0.626702,11
14,5,1,0,0.240006,103
14,5,1,1,0.033907,6
16,4,1,0,-0.004198,107
16,4,1,1,-0.429410,6
15,9,1,0,-0.082308,73
15,9,1,1,-0.257298,13
21,2,0,0,0.000000,0
21,2,0,1,0.859153,292
10,6,0,0,0.315407,296
10,6,0,1,-0.293463,40
18,4,0,0,-0.777963,79
18,4,0,1,0.261999,586
7,5,0,0,0.034063,178
7,5,0,1,-0.679054,20
20,3,1,0,0.260941,19
20,3,1,1,0.734514,151
14,3,1,0,-0.024093,71
14,3,1,1,-0.233045,11
7,8,0,0,-0.228169,160
7,8,0,1,-0.346384,23
19,4,1,0,0.056620,9
19,4,1,1,0.495120,126
10,5,0,0,0.400565,328
10,5,0,1,-0.059143,31
21,4,0,0,0.000000,0
21,4,0,1,0.857326,245
5,7,0,0,-0.119833,80
5,7,0,1,-0.325306,9
18,5,1,0,0.354753,137
18,5,1,1,0.138758,19
16,7,1,0,-0.077999,109
16,7,1,1,-0.644387,12
15,7,1,0,-0.038736,114
15,7,1,1,-1.000000,7
4,4,0,0,-0.027095,37
4,4,0,1,-0.455966,9
17,2,1,0,0.061686,107
17,2,1,1,-0.152471,29
14,8,1,0,0.042799,102
14,8,1,1,-0.525081,9
21,5,0,0,0.000000,0
21,5,0,1,0.833547,247
10,2,0,0,0.243298,317
10,2,0,1,-0.658384,27
14,11,0,0,-0.619558,866
14,11,0,1,-0.805014,104
14,11,1,0,-0.302631,89
14,11,1,1,-0.706779,10
12,7,0,0,-0.269675,764
12,7,0,1,-0.434980,89
9,4,0,0,0.145154,263
9,4,0,1,-0.004156,33
12,11,1,0,-0.285089,14
12,11,1,1,-1.000000,4
20,11,1,0,-0.285841,38
20,11,1,1,0.308889,96
8,3,0,0,-0.022230,181
8,3,0,1,-0.055741,30
21,8,0,0,0.000000,0
21,8,0,1,0.926457,439
16,8,1,0,0.081577,101
16,8,1,1,-0.449065,12
