playerSum,dealerUpcard,usableAce,action,qValue,visitCount
13,9,1,1,-1.000000,7
18,6,1,0,0.185185,27
18,6,1,1,0.270417,2951
5,8,0,0,-0.666667,9
5,8,0,1,-0.506453,1937
17,10,1,0,-0.237482,6910
17,10,1,1,-0.448650,4333
5,2,0,0,-0.714286,7
5,2,0,1,-0.231092,1428
7,7,0,0,-0.112371,3969
7,7,0,1,-0.210526,38
20,5,1,0,0.066667,15
20,5,1,1,0.667548,3026
16,8,0,0,-0.454317,2791
16,8,0,1,-0.511344,16572
13,8,1,0,0.028807,1944
13,8,1,1,-0.300000,20
19,8,0,0,-0.732394,71
19,8,0,1,0.590015,16264
15,8,0,0,-0.408107,18255
15,8,0,1,-0.555556,99
8,8,0,0,-0.066498,4737
8,8,0,1,-0.777778,27
8,6,0,0,0.146242,4178
8,6,0,1,-0.142857,28
17,11,1,0,-0.428889,450
17,11,1,1,-0.671569,1224
5,3,0,0,-0.115632,1401
5,3,0,1,-0.146341,82
20,9,1,0,0.260870,23
20,9,1,1,0.785357,2800
7,11,0,0,-0.554071,1572
7,11,0,1,-0.772016,2237
19,4,1,0,-0.095238,21
19,4,1,1,0.423401,2846
6,6,0,0,0.081439,528
6,6,0,1,-0.142997,2049
15,10,1,0,-0.211607,8960
15,10,1,1,-0.680000,50
11,11,0,0,-0.100691,8968
11,11,0,1,-0.794872,39
13,10,1,0,-0.149948,7656
13,10,1,1,-0.586626,329
15,5,1,0,0.081081,2294
15,5,1,1,-0.222222,18
18,9,0,0,-0.582418,91
18,9,0,1,-0.195898,15406
8,9,0,0,-0.248326,4780
8,9,0,1,-0.760000,25
9,8,0,0,0.107811,6094
9,8,0,1,-0.559140,186
10,9,0,0,0.111699,7180
10,9,0,1,-0.823529,34
5,7,0,0,-0.132879,587
5,7,0,1,-0.497366,1329
18,5,1,0,0.062500,16
18,5,1,1,0.220218,2661
8,11,0,0,-0.474291,4940
8,11,0,1,-0.857143,28
9,5,0,0,0.205040,5833
9,5,0,1,-0.030303,33
14,7,1,0,0.022360,2102
14,7,1,1,-0.500000,12
18,2,1,0,-0.050000,20
18,2,1,1,0.117861,2749
5,4,0,0,-0.111111,9
5,4,0,1,-0.157060,1891
19,7,1,0,0.055556,18
19,7,1,1,0.634076,3140
6,9,0,0,-0.305898,1458
6,9,0,1,-0.557858,1158
9,9,0,0,-0.061024,4572
9,9,0,1,-0.563659,1618
5,5,0,0,-0.166667,12
5,5,0,1,-0.077472,1962
18,3,1,0,0.058553,1742
18,3,1,1,0.191564,1138
4,3,0,0,-1.000000,3
4,3,0,1,-0.210750,707
16,11,1,0,-0.484932,1460
16,11,1,1,-0.776224,143
13,2,1,0,0.040392,817
13,2,1,1,-0.249211,634
15,9,1,0,-0.160018,2256
15,9,1,1,-0.764706,17
11,4,0,0,0.323329,8063
11,4,0,1,-0.466667,30
